,Region,Region_code,price_period,price_period_code,price,number_bathrooms,number_bedrooms,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Pets Allowed,Wheelchair Access,Garden / Patio / Balcony,Serviced Property
1238,Dublin 2,8,month,0,1400,1,1,0,1,1,0,0,1,0,0,0,0
1239,Dublin 4,13,month,0,1600,1,1,1,1,1,0,0,1,0,0,1,0
1240,Dun Laoghaire A96,23,month,0,2000,2,2,1,1,1,1,1,1,0,0,1,0
1241,Dublin 4,13,month,0,2000,2,2,1,0,1,1,1,1,0,0,1,0
1242,Dublin 6,15,month,0,1750,1,2,0,0,1,1,0,1,0,0,0,0
1243,Dublin 7,17,month,0,1400,1,1,0,1,1,0,0,1,0,0,0,0
1244,Dublin 2,8,month,0,2800,2,3,1,0,0,0,0,0,0,0,0,0
1245,Dublin 1,0,month,0,1725,1,1,0,0,1,0,0,1,0,0,0,1
1246,Dublin 15,5,month,0,2200,1,2,1,1,1,1,1,1,0,1,1,0
1247,Dublin 3,12,month,0,1600,1,2,1,0,1,1,0,1,0,0,0,0
