,Region,Region_code,price_period,price_period_code,price,number_bathrooms,number_bedrooms,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Pets Allowed,Wheelchair Access,Garden / Patio / Balcony,Serviced Property
998,Dublin 18,7,month,0,1700,1,1,1,1,1,0,1,0,0,0,0,0
999,Dublin 1,0,month,0,2250,1,2,1,1,1,1,1,0,0,1,0,0
1000,Dublin 1,0,month,0,1595,1,1,0,0,1,1,0,1,0,0,1,0
1001,Dublin 1,0,month,0,1400,1,1,0,1,1,1,0,1,0,0,1,0
1002,Dublin 9,19,month,0,1715,2,2,1,1,1,0,1,0,0,0,0,0
1003,Dublin 4,13,month,0,1950,1,2,1,1,1,0,0,1,0,0,1,0
1004,Dublin 6,15,month,0,1600,2,2,0,0,1,1,1,0,0,0,0,0
1005,Dublin 1,0,month,0,1600,1,1,1,1,1,1,1,1,0,0,1,1
1006,Dublin 7,17,month,0,1550,1,1,1,1,1,1,1,1,0,0,0,0
1007,Dublin 1,0,month,0,1600,1,1,0,1,1,0,0,1,0,0,0,0
1008,Dublin 15,5,month,0,1820,2,2,1,1,1,1,0,1,0,0,1,0
1009,Dun Laoghaire A9X,24,month,0,1750,1,1,1,0,0,0,0,0,0,0,0,0
1010,Dublin 1,0,month,0,2000,2,2,0,1,1,1,0,1,0,1,1,0
1011,Dublin 1,0,month,0,2100,1,2,0,1,1,1,0,1,0,1,1,0
1012,Dublin 6,15,month,0,2000,1,3,1,1,1,1,0,1,1,1,1,0
1013,Dublin 1,0,month,0,1500,1,2,0,1,1,1,1,1,0,1,0,0
1014,Dublin 1,0,month,0,1400,1,1,0,0,1,0,0,1,0,0,1,0
1015,Dublin 14,4,month,0,1650,1,1,1,1,1,1,1,1,0,0,1,0
1016,Dublin 8,18,month,0,1900,1,2,0,1,1,1,1,1,0,0,1,0
1017,Dublin 8,18,month,0,1500,1,1,1,0,1,1,1,1,0,0,0,0
1018,Dublin 7,17,month,0,1700,1,2,1,0,1,0,0,1,0,0,0,0
1019,Dublin 2,8,month,0,2300,1,2,0,1,1,0,1,1,0,0,1,0
1020,Dublin 8,18,month,0,2100,2,2,1,1,1,0,1,1,0,0,1,0
1021,Dublin 1,0,month,0,1400,1,1,0,1,1,0,1,1,0,0,1,0
1022,Dublin 2,8,month,0,1995,1,2,0,1,1,1,1,1,0,0,1,0
1023,Dublin 8,18,month,0,1600,1,2,0,1,1,1,0,1,0,0,0,0
1024,Dublin 7,17,month,0,1700,1,2,1,0,0,0,0,0,0,0,0,0
1025,Dublin 3,12,month,0,2288,2,2,1,1,1,0,1,1,0,0,1,0
1026,Dublin 6,15,month,0,2250,2,2,1,1,1,1,1,1,0,0,1,0
1027,Dublin 15,5,month,0,1665,2,2,1,1,1,1,0,1,0,0,1,0
1028,Dublin 1,0,month,0,1872,1,2,0,1,1,1,0,1,0,0,1,0
1029,Dublin 4,13,month,0,2995,2,2,1,1,1,1,1,1,0,0,1,0
1030,Dublin 8,18,month,0,1350,1,1,1,1,1,1,0,1,0,0,0,0
1031,Dublin 9,19,month,0,1868,2,2,1,1,1,1,0,1,0,0,1,0
1032,Dublin 4,13,month,0,1650,1,1,0,1,0,0,0,1,0,0,1,0
1033,Dublin 4,13,month,0,2120,1,1,1,1,1,0,0,1,0,0,1,0
1034,Dublin 4,13,month,0,3200,2,3,1,1,1,1,0,1,0,0,1,0
1035,Dublin 4,13,month,0,1650,1,1,1,1,1,1,0,1,0,0,1,0
1036,Dun Laoghaire A96,23,month,0,1845,2,2,1,1,1,1,0,1,0,0,0,0
1037,Dublin 8,18,month,0,1750,2,2,0,1,1,0,0,1,0,0,1,0
1038,Dublin 1,0,month,0,1600,1,2,1,0,1,1,0,1,1,0,0,0
1039,Dublin 11,1,month,0,1500,2,2,1,1,1,0,0,1,0,0,1,0
1040,Dublin 11,1,month,0,1700,2,2,1,1,1,0,1,1,0,0,1,0
1041,Dublin 14,4,month,0,1850,1,2,1,1,1,1,1,1,0,0,1,0
1042,Dublin 8,18,month,0,2600,3,3,1,1,0,0,0,1,0,0,1,0
1043,Dublin 1,0,month,0,1875,1,2,1,1,1,1,0,1,1,0,0,0
1044,Dublin 15,5,month,0,1490,2,2,1,0,1,0,1,1,0,0,1,0
1045,Dublin 11,1,month,0,1800,2,2,1,1,1,0,1,1,0,0,1,0
1046,Dublin 9,19,month,0,1700,1,3,1,0,1,0,0,1,0,0,0,0
1047,Dublin 8,18,month,0,1400,1,1,0,0,1,0,0,1,0,0,0,0
1048,Dublin 15,5,month,0,3000,4,4,1,0,1,0,1,0,0,0,0,0
1049,Dublin 8,18,month,0,1600,1,2,1,1,1,1,0,1,0,0,0,0
1050,Dublin 4,13,month,0,1750,1,2,1,1,1,0,0,1,1,0,0,0
1051,Dublin 11,1,month,0,1767,1,2,1,1,1,0,0,1,1,0,1,0
1052,Dublin 7,17,month,0,3100,3,4,0,1,1,1,0,1,0,0,1,0
1053,Dublin 14,4,month,0,1312,1,1,1,0,1,0,0,0,0,0,1,0
1054,Dublin 2,8,month,0,2200,2,2,1,1,1,1,1,1,0,0,1,0
1055,Dublin 16,6,month,0,1600,2,2,1,1,1,0,1,1,0,0,1,0
1056,Dublin 2,8,month,0,1500,1,1,0,1,1,1,1,1,0,0,1,0
1057,Dublin 6,15,month,0,1450,1,1,1,1,1,0,0,1,0,0,0,0
1058,Dublin 2,8,month,0,1450,1,1,0,1,1,1,1,1,0,0,0,0
1059,Dublin 8,18,month,0,1800,1,2,1,1,1,1,0,1,0,0,0,0
1060,Dublin 2,8,month,0,1450,1,1,0,1,1,1,0,1,0,0,0,0
1061,Dublin Fingal K67,21,month,0,1550,1,2,1,0,1,0,0,1,0,0,1,0
1062,Dublin 24,11,month,0,1875,2,2,1,1,1,0,1,1,0,0,1,0
1063,Dublin 1,0,month,0,2100,2,2,0,0,1,0,0,1,0,0,1,0
1064,Dublin 4,13,month,0,2200,2,2,0,1,1,1,1,1,0,0,1,0
1065,Dublin 9,19,month,0,1600,1,1,1,1,1,1,1,1,0,0,1,0
1066,Dublin 8,18,month,0,1700,2,2,1,1,1,0,0,1,0,0,1,0
1067,Dublin 8,18,month,0,1400,1,1,0,1,1,1,0,1,0,0,0,0
1068,Dublin 4,13,month,0,1850,2,2,1,1,1,1,0,1,0,0,1,0
1069,Dublin 14,4,month,0,1800,1,2,1,1,1,0,0,1,0,0,1,0
1070,Dublin 3,12,month,0,1650,1,1,1,1,1,1,0,1,0,0,1,0
1071,Dublin 9,19,month,0,1500,1,1,1,1,1,1,1,1,0,0,1,0
1072,Dublin 1,0,month,0,1400,1,1,0,0,1,0,0,1,0,0,1,0
1073,Dublin 18,7,month,0,2100,2,2,1,0,0,0,0,0,0,0,0,0
1074,Dublin 6,15,month,0,1450,1,1,0,1,1,1,0,1,0,0,0,1
1075,Dun Laoghaire A94,22,month,0,2100,2,2,1,1,1,0,1,1,0,0,1,0
1076,Dublin 11,1,month,0,1700,2,2,1,0,1,0,1,1,0,0,1,0
1077,Dublin 3,12,month,0,2500,3,3,0,0,1,0,0,1,0,0,1,0
1078,Dublin 14,4,month,0,2500,2,2,1,1,1,0,1,1,0,0,1,0
1079,Dublin 8,18,month,0,1700,1,2,0,1,1,1,0,1,0,0,1,0
1080,Dublin 1,0,month,0,1500,1,1,0,1,1,0,1,1,0,0,0,0
